Model,RMSE,PSNR,MAE,Dataset,Noise Type,SNR Noise Level
Wavelet,0.2880,10.8119,0.2404,ARDB,COMP,3
LMS,0.2201,13.1487,0.1560,ARDB,COMP,3
SR3_1,0.1164,18.6829,0.0728,ARDB,COMP,3
Wavelet,0.1130,18.9416,0.0811,ARDB,COMP,5
LMS,0.2002,13.9704,0.1560,ARDB,COMP,5
SR3_1,0.1113,19.0728,0.0712,ARDB,COMP,5
Wavelet,0.2880,10.8119,0.2404,ARDB,COMP,3
LMS,0.2201,13.1487,0.1560,ARDB,COMP,3
SR3_2,0.1457,16.7305,0.0867,ARDB,COMP,3
Wavelet,0.1130,18.9416,0.0811,ARDB,COMP,5
LMS,0.2002,13.9704,0.1560,ARDB,COMP,5
SR3_2,0.1585,16.0007,0.0873,ARDB,COMP,5
Wavelet,0.2029,13.8564,0.1740,ARDB,EM,1
LMS,0.1999,13.9843,0.1560,ARDB,EM,1
SR3_1,0.1144,18.8311,0.0743,ARDB,EM,1
Wavelet,0.1524,16.3407,0.1177,ARDB,EM,3
LMS,0.2107,13.5249,0.1560,ARDB,EM,3
SR3_1,0.1161,18.7014,0.0726,ARDB,EM,3
Wavelet,0.1515,16.3916,0.1058,ARDB,EM,5
LMS,0.1909,14.3854,0.1560,ARDB,EM,5
SR3_1,0.1095,19.2141,0.0706,ARDB,EM,5
Wavelet,0.2029,13.8564,0.1740,ARDB,EM,1
LMS,0.1999,13.9843,0.1560,ARDB,EM,1
SR3_2,0.2018,13.9025,0.1250,ARDB,EM,1
Wavelet,0.1524,16.3407,0.1177,ARDB,EM,3
LMS,0.2107,13.5249,0.1560,ARDB,EM,3
SR3_2,0.1363,17.3112,0.0813,ARDB,EM,3
Wavelet,0.1515,16.3916,0.1058,ARDB,EM,5
LMS,0.1909,14.3854,0.1560,ARDB,EM,5
SR3_2,0.1320,17.5865,0.0665,ARDB,EM,5
Wavelet,0.1454,16.7470,0.1261,ARDB,MA,1
LMS,0.2079,13.6427,0.1560,ARDB,MA,1
SR3_1,0.1161,18.7027,0.0702,ARDB,MA,1
Wavelet,0.0821,21.7080,0.0639,ARDB,MA,3
LMS,0.1863,14.5977,0.1560,ARDB,MA,3
SR3_1,0.1169,18.6434,0.0740,ARDB,MA,3
Wavelet,0.0200,33.9755,0.0148,ARDB,MA,5
LMS,0.1818,14.8093,0.1560,ARDB,MA,5
SR3_1,0.1146,18.8180,0.0748,ARDB,MA,5
Wavelet,0.1454,16.7470,0.1261,ARDB,MA,1
LMS,0.2079,13.6427,0.1560,ARDB,MA,1
SR3_2,0.1366,17.2898,0.0825,ARDB,MA,1
Wavelet,0.0821,21.7080,0.0639,ARDB,MA,3
LMS,0.1863,14.5977,0.1560,ARDB,MA,3
SR3_2,0.1499,16.4827,0.0859,ARDB,MA,3
Wavelet,0.0200,33.9755,0.0148,ARDB,MA,5
LMS,0.1818,14.8093,0.1560,ARDB,MA,5
SR3_2,0.1358,17.3422,0.0834,ARDB,MA,5
Wavelet,0.2741,11.2429,0.2263,AF,COMP,3
LMS,0.1397,17.0940,0.1091,AF,COMP,3
SR3_1,0.1874,14.5425,0.1357,AF,COMP,3
Wavelet,0.1359,17.3366,0.1163,AF,COMP,5
LMS,0.1310,17.6513,0.1091,AF,COMP,5
SR3_1,0.1343,17.4411,0.0908,AF,COMP,5
Wavelet,0.2741,11.2429,0.2263,AF,COMP,3
LMS,0.1397,17.0940,0.1091,AF,COMP,3
SR3_2,0.0966,20.3049,0.0797,AF,COMP,3
Wavelet,0.1359,17.3366,0.1163,AF,COMP,5
LMS,0.1310,17.6513,0.1091,AF,COMP,5
SR3_2,0.0818,21.7427,0.0523,AF,COMP,5